experiment,step,planned_steps,epoch,loss,learning_rate,grad_norm,skipped,nan
pc8-v2.1,1,252,0.007920792079207921,0.590137,1.25e-05,0.182,0,0
pc8-v2.1,2,252,0.015841584158415842,0.8503188,2.5e-05,0.783,0,0
pc8-v2.1,3,252,0.023762376237623763,0.5132366,3.75e-05,0.161,0,0
pc8-v2.1,4,252,0.031683168316831684,0.4957013,5e-05,0.224,0,0
pc8-v2.1,5,252,0.039603960396039604,0.4260532,6.25e-05,0.161,0,0
pc8-v2.1,6,252,0.047524752475247525,0.6273232,7.5e-05,0.561,0,0
pc8-v2.1,7,252,0.055445544554455446,0.4226145,8.75e-05,0.193,0,0
pc8-v2.1,8,252,0.06336633663366337,0.4618017,0.0001,0.185,0,0
pc8-v2.1,9,252,0.07128712871287128,0.4758197,9.999627e-05,0.166,0,0
pc8-v2.1,10,252,0.07920792079207921,0.46887,9.998508e-05,0.127,0,0
pc8-v2.1,11,252,0.08712871287128712,0.501844,9.996643e-05,0.136,0,0
pc8-v2.1,12,252,0.09504950495049505,0.4761211,9.994033e-05,0.175,0,0
pc8-v2.1,13,252,0.10297029702970296,0.4717472,9.990679e-05,0.124,0,0
pc8-v2.1,14,252,0.11089108910891089,0.4061894,9.986579e-05,0.223,0,0
pc8-v2.1,15,252,0.1188118811881188,0.5599635,9.981736e-05,0.228,0,0
pc8-v2.1,16,252,0.12673267326732673,0.4306073,9.976149e-05,0.118,0,0
pc8-v2.1,17,252,0.13465346534653466,0.4204481,9.969821e-05,0.119,0,0
pc8-v2.1,18,252,0.14257425742574256,0.5669842,9.962752e-05,0.133,0,0
pc8-v2.1,19,252,0.1504950495049505,0.4584719,9.954943e-05,0.113,0,0
pc8-v2.1,20,252,0.15841584158415842,0.4521149,9.946396e-05,0.167,0,0
pc8-v2.1,21,252,0.16633663366336635,0.4507934,9.937111e-05,0.117,0,0
pc8-v2.1,22,252,0.17425742574257425,0.4447419,9.927091e-05,0.14,0,0
pc8-v2.1,23,252,0.18217821782178217,0.4336635,9.916336e-05,0.22,0,0
pc8-v2.1,24,252,0.1900990099009901,0.3672842,9.904851e-05,0.091,0,0
pc8-v2.1,25,252,0.19801980198019803,0.3370852,9.892634e-05,0.111,0,0
pc8-v2.1,26,252,0.20594059405940593,0.4101492,9.87969e-05,0.13,0,0
pc8-v2.1,27,252,0.21386138613861386,0.8216486,9.866019e-05,2.402,0,0
pc8-v2.1,28,252,0.22178217821782178,0.4478122,9.851625e-05,0.099,0,0
pc8-v2.1,29,252,0.2297029702970297,0.3805145,9.836509e-05,0.09,0,0
pc8-v2.1,30,252,0.2376237623762376,0.3277827,9.820674e-05,0.117,0,0
pc8-v2.1,31,252,0.24554455445544554,0.3549955,9.804124e-05,0.131,0,0
pc8-v2.1,32,252,0.25346534653465347,0.5118582,9.786859e-05,0.146,0,0
pc8-v2.1,33,252,0.2613861386138614,0.473193,9.768884e-05,0.127,0,0
pc8-v2.1,34,252,0.2693069306930693,0.4873181,9.750202e-05,0.128,0,0
pc8-v2.1,35,252,0.27722772277227725,0.3546281,9.730814e-05,0.139,0,0
pc8-v2.1,36,252,0.2851485148514851,1.039772,9.710726e-05,5.179,0,0
pc8-v2.1,37,252,0.29306930693069305,0.4494279,9.689939e-05,0.147,0,0
pc8-v2.1,38,252,0.300990099009901,0.3710049,9.668458e-05,0.097,0,0
pc8-v2.1,39,252,0.3089108910891089,0.5280482,9.646286e-05,0.117,0,0
pc8-v2.1,40,252,0.31683168316831684,0.3787322,9.623426e-05,0.425,0,0
pc8-v2.1,41,252,0.32475247524752476,0.2715459,9.599883e-05,0.124,0,0
pc8-v2.1,42,252,0.3326732673267327,0.3986872,9.57566e-05,0.134,0,0
pc8-v2.1,43,252,0.3405940594059406,0.347843,9.550762e-05,0.106,0,0
pc8-v2.1,44,252,0.3485148514851485,0.5047666,9.525192e-05,0.188,0,0
pc8-v2.1,45,252,0.3564356435643564,0.4661748,9.498955e-05,0.156,0,0
pc8-v2.1,46,252,0.36435643564356435,0.4050831,9.472055e-05,0.111,0,0
pc8-v2.1,47,252,0.3722772277227723,0.43049,9.444496e-05,0.192,0,0
pc8-v2.1,48,252,0.3801980198019802,0.4055279,9.416284e-05,0.124,0,0
pc8-v2.1,49,252,0.38811881188118813,0.4125645,9.387422e-05,0.178,0,0
