experiment,step,planned_steps,epoch,loss,learning_rate,grad_norm,skipped,nan
pc7-v2,1,276,0.007259528130671506,0.4357242,1.111111e-05,0.245,0,0
pc7-v2,2,276,0.014519056261343012,0.3456672,2.222222e-05,0.233,0,0
pc7-v2,3,276,0.021778584392014518,0.5263721,3.333333e-05,0.227,0,0
pc7-v2,4,276,0.029038112522686024,0.4779785,4.444444e-05,0.225,0,0
pc7-v2,5,276,0.036297640653357534,0.4052216,5.555556e-05,0.191,0,0
pc7-v2,6,276,0.043557168784029036,0.5279731,6.666667e-05,0.149,0,0
pc7-v2,7,276,0.050816696914700546,0.4000692,7.777778e-05,0.181,0,0
pc7-v2,8,276,0.05807622504537205,0.4074373,8.888889e-05,0.201,0,0
pc7-v2,9,276,0.06533575317604355,0.6410941,0.0001,1.251,0,0
pc7-v2,10,276,0.07259528130671507,0.2870924,9.999688e-05,0.147,0,0
pc7-v2,11,276,0.07985480943738657,0.3887782,9.998754e-05,0.124,0,0
pc7-v2,12,276,0.08711433756805807,0.3439803,9.997197e-05,0.134,0,0
pc7-v2,13,276,0.09437386569872959,0.4552088,9.995017e-05,0.109,0,0
pc7-v2,14,276,0.10163339382940109,0.5004469,9.992214e-05,0.129,0,0
pc7-v2,15,276,0.1088929219600726,0.4443949,9.98879e-05,0.151,0,0
pc7-v2,16,276,0.1161524500907441,0.3175905,9.984745e-05,0.115,0,0
pc7-v2,17,276,0.12341197822141561,0.522144,9.980079e-05,0.122,0,0
pc7-v2,18,276,0.1306715063520871,0.4114807,9.974792e-05,0.122,0,0
pc7-v2,19,276,0.13793103448275862,0.4789023,9.968886e-05,0.109,0,0
pc7-v2,20,276,0.14519056261343014,0.4413718,9.962361e-05,0.227,0,0
pc7-v2,21,276,0.15245009074410162,0.4368777,9.955218e-05,0.391,0,0
pc7-v2,22,276,0.15970961887477314,0.340063,9.947459e-05,0.111,0,0
pc7-v2,23,276,0.16696914700544466,0.4500147,9.939084e-05,0.144,0,0
pc7-v2,24,276,0.17422867513611615,0.3648859,9.930094e-05,0.148,0,0
pc7-v2,25,276,0.18148820326678766,0.5459936,9.920491e-05,0.116,0,0
pc7-v2,26,276,0.18874773139745918,0.4047268,9.910276e-05,0.153,0,0
pc7-v2,27,276,0.19600725952813067,0.531941,9.89945e-05,0.135,0,0
pc7-v2,28,276,0.20326678765880218,0.4753731,9.888015e-05,0.137,0,0
pc7-v2,29,276,0.21052631578947367,0.4942009,9.875974e-05,0.141,0,0
pc7-v2,30,276,0.2177858439201452,0.4114391,9.863325e-05,0.296,0,0
pc7-v2,31,276,0.2250453720508167,0.461769,9.850074e-05,0.11,0,0
pc7-v2,32,276,0.2323049001814882,0.5240734,9.836219e-05,0.142,0,0
pc7-v2,33,276,0.2395644283121597,0.4045801,9.821764e-05,0.189,0,0
pc7-v2,34,276,0.24682395644283123,0.4799495,9.806712e-05,0.135,0,0
pc7-v2,35,276,0.2540834845735027,0.4657283,9.791063e-05,0.104,0,0
pc7-v2,36,276,0.2613430127041742,0.4316012,9.774819e-05,0.094,0,0
pc7-v2,37,276,0.26860254083484575,0.4822132,9.757984e-05,0.101,0,0
pc7-v2,38,276,0.27586206896551724,0.615413,9.740559e-05,0.155,0,0
pc7-v2,39,276,0.2831215970961887,0.906626,9.722548e-05,4.231,0,0
pc7-v2,40,276,0.29038112522686027,0.4297071,9.703952e-05,0.127,0,0
pc7-v2,41,276,0.29764065335753176,0.4900775,9.684773e-05,0.112,0,0
pc7-v2,42,276,0.30490018148820325,0.5340328,9.665016e-05,3.21,0,0
pc7-v2,43,276,0.3121597096188748,0.4334344,9.644681e-05,0.093,0,0
pc7-v2,44,276,0.3194192377495463,0.4930449,9.623774e-05,0.139,0,0
pc7-v2,45,276,0.32667876588021777,0.4712508,9.602294e-05,0.128,0,0
pc7-v2,46,276,0.3339382940108893,0.4929898,9.580248e-05,0.109,0,0
pc7-v2,47,276,0.3411978221415608,0.3875137,9.557636e-05,0.1,0,0
pc7-v2,48,276,0.3484573502722323,0.381644,9.534463e-05,0.138,0,0
pc7-v2,49,276,0.35571687840290384,0.5107096,9.510731e-05,0.154,0,0
pc7-v2,50,276,0.3629764065335753,0.4018892,9.486443e-05,0.138,0,0
pc7-v2,51,276,0.3702359346642468,0.4946072,9.461604e-05,0.867,0,0
pc7-v2,52,276,0.37749546279491836,0.4507392,9.436216e-05,0.108,0,0
pc7-v2,53,276,0.38475499092558985,0.4728364,9.410284e-05,0.115,0,0
pc7-v2,54,276,0.39201451905626133,0.461507,9.38381e-05,0.176,0,0
pc7-v2,55,276,0.3992740471869328,0.4382018,9.356799e-05,0.094,0,0
pc7-v2,56,276,0.40653357531760437,0.404074,9.329252e-05,0.184,0,0
pc7-v2,57,276,0.41379310344827586,0.3683113,9.301177e-05,0.149,0,0
pc7-v2,58,276,0.42105263157894735,0.3537457,9.272575e-05,0.163,0,0
pc7-v2,59,276,0.4283121597096189,0.7860568,9.243451e-05,3.851,0,0
pc7-v2,60,276,0.4355716878402904,0.4273557,9.213809e-05,0.165,0,0
pc7-v2,61,276,0.44283121597096187,0.4596744,9.183652e-05,0.155,0,0
pc7-v2,62,276,0.4500907441016334,0.4440403,9.152985e-05,0.26,0,0
pc7-v2,63,276,0.4573502722323049,0.4750752,9.121813e-05,0.126,0,0
pc7-v2,64,276,0.4646098003629764,0.4541026,9.090139e-05,0.155,0,0
pc7-v2,65,276,0.47186932849364793,0.5573154,9.057968e-05,0.137,0,0
pc7-v2,66,276,0.4791288566243194,0.3702606,9.025304e-05,0.238,0,0
pc7-v2,67,276,0.4863883847549909,0.5088845,8.992153e-05,0.192,0,0
pc7-v2,68,276,0.49364791288566245,0.4498732,8.958518e-05,0.177,0,0
pc7-v2,69,276,0.5009074410163339,0.4982651,8.924404e-05,0.184,0,0
pc7-v2,70,276,0.5081669691470054,0.3691529,8.889817e-05,0.132,0,0
pc7-v2,71,276,0.515426497277677,0.483549,8.85476e-05,0.131,0,0
pc7-v2,72,276,0.5226860254083484,0.5663354,8.819238e-05,0.138,0,0
pc7-v2,73,276,0.52994555353902,0.3528963,8.783257e-05,0.153,0,0
pc7-v2,74,276,0.5372050816696915,0.4846593,8.746822e-05,0.221,0,0
pc7-v2,75,276,0.5444646098003629,0.484119,8.709936e-05,0.239,0,0
pc7-v2,76,276,0.5517241379310345,0.3565532,8.672607e-05,0.139,0,0
pc7-v2,77,276,0.558983666061706,0.3851286,8.634838e-05,0.121,0,0
pc7-v2,78,276,0.5662431941923775,0.5107279,8.596636e-05,0.138,0,0
pc7-v2,79,276,0.573502722323049,0.3491127,8.558004e-05,0.27,0,0
pc7-v2,80,276,0.5807622504537205,0.4227201,8.518949e-05,0.313,0,0
pc7-v2,81,276,0.588021778584392,0.4372313,8.479476e-05,0.168,0,0
pc7-v2,82,276,0.5952813067150635,0.3415868,8.439591e-05,0.181,0,0
pc7-v2,83,276,0.6025408348457351,0.5078717,8.399299e-05,0.197,0,0
pc7-v2,84,276,0.6098003629764065,0.3227879,8.358605e-05,0.127,0,0
pc7-v2,85,276,0.617059891107078,0.4627164,8.317516e-05,0.171,0,0
pc7-v2,86,276,0.6243194192377496,0.3999991,8.276037e-05,0.151,0,0
pc7-v2,87,276,0.631578947368421,0.4530071,8.234173e-05,0.213,0,0
pc7-v2,88,276,0.6388384754990926,0.5095953,8.19193e-05,0.112,0,0
pc7-v2,89,276,0.6460980036297641,0.5073907,8.149316e-05,0.681,0,0
pc7-v2,90,276,0.6533575317604355,0.4553184,8.106334e-05,0.15,0,0
pc7-v2,91,276,0.6606170598911071,0.4927632,8.062991e-05,0.12,0,0
pc7-v2,92,276,0.6678765880217786,0.411309,8.019293e-05,0.129,0,0
pc7-v2,93,276,0.6751361161524501,0.4146706,7.975248e-05,0.14,0,0
pc7-v2,94,276,0.6823956442831216,0.5214334,7.930859e-05,13.741,0,0
pc7-v2,95,276,0.6896551724137931,0.3850175,7.886133e-05,0.105,0,0
pc7-v2,96,276,0.6969147005444646,0.3922001,7.841078e-05,0.132,0,0
pc7-v2,97,276,0.7041742286751361,0.4598677,7.795697e-05,0.18,0,0
pc7-v2,98,276,0.7114337568058077,0.4939164,7.75e-05,0.147,0,0
pc7-v2,99,276,0.7186932849364791,0.3801591,7.703991e-05,0.107,0,0
pc7-v2,100,276,0.7259528130671506,0.4381497,7.657676e-05,0.164,0,0
pc7-v2,101,276,0.7332123411978222,0.3871933,7.611063e-05,0.122,0,0
pc7-v2,102,276,0.7404718693284936,0.3951461,7.564158e-05,0.14,0,0
pc7-v2,103,276,0.7477313974591652,0.4136938,7.516967e-05,0.18,0,0
pc7-v2,104,276,0.7549909255898367,0.4312225,7.469497e-05,0.142,0,0
pc7-v2,105,276,0.7622504537205081,0.5173128,7.421754e-05,0.124,0,0
pc7-v2,106,276,0.7695099818511797,0.4186606,7.373745e-05,0.139,0,0
pc7-v2,107,276,0.7767695099818511,0.4354311,7.325476e-05,0.191,0,0
pc7-v2,108,276,0.7840290381125227,0.3909698,7.276955e-05,0.16,0,0
pc7-v2,109,276,0.7912885662431942,0.4750177,7.228188e-05,0.179,0,0
pc7-v2,110,276,0.7985480943738656,0.3017281,7.179182e-05,0.119,0,0
pc7-v2,111,276,0.8058076225045372,0.4683021,7.129943e-05,0.147,0,0
pc7-v2,112,276,0.8130671506352087,0.435152,7.080479e-05,0.161,0,0
pc7-v2,113,276,0.8203266787658802,0.4668132,7.030795e-05,0.142,0,0
pc7-v2,114,276,0.8275862068965517,0.3958582,6.9809e-05,5.493,0,0
pc7-v2,115,276,0.8348457350272233,0.7353508,6.9308e-05,48.932,0,0
pc7-v2,116,276,0.8421052631578947,0.3926237,6.880501e-05,0.161,0,0
pc7-v2,117,276,0.8493647912885662,0.5950623,6.830012e-05,0.329,0,0
pc7-v2,118,276,0.8566243194192378,0.7572235,6.779338e-05,100.516,0,0
pc7-v2,119,276,0.8638838475499092,0.5151333,6.728488e-05,0.175,0,0
pc7-v2,120,276,0.8711433756805808,0.5220271,6.677466e-05,0.422,0,0
pc7-v2,121,276,0.8784029038112523,0.5067104,6.626283e-05,0.139,0,0
pc7-v2,122,276,0.8856624319419237,0.477733,6.574943e-05,0.135,0,0
pc7-v2,123,276,0.8929219600725953,0.4288194,6.523455e-05,0.164,0,0
pc7-v2,124,276,0.9001814882032668,0.3731169,6.471825e-05,0.175,0,0
pc7-v2,125,276,0.9074410163339383,0.4128214,6.42006e-05,0.152,0,0
pc7-v2,126,276,0.9147005444646098,0.5086173,6.368167e-05,0.165,0,0
pc7-v2,127,276,0.9219600725952813,0.4382842,6.316155e-05,0.25,0,0
pc7-v2,128,276,0.9292196007259528,0.4559127,6.26403e-05,0.283,0,0
pc7-v2,129,276,0.9364791288566243,0.4509542,6.211799e-05,0.171,0,0
pc7-v2,130,276,0.9437386569872959,0.3808837,6.159468e-05,0.173,0,0
pc7-v2,131,276,0.9509981851179673,0.3715474,6.107048e-05,0.182,0,0
pc7-v2,132,276,0.9582577132486388,0.5206227,6.054543e-05,0.142,0,0
pc7-v2,133,276,0.9655172413793104,0.2700414,6.001961e-05,0.204,0,0
pc7-v2,134,276,0.9727767695099818,0.5157404,5.94931e-05,0.169,0,0
pc7-v2,135,276,0.9800362976406534,0.5104096,5.896596e-05,0.143,0,0
pc7-v2,136,276,0.9872958257713249,0.5095024,5.843828e-05,694.742,0,0
pc7-v2,137,276,0.9945553539019963,0.4205561,5.791012e-05,0.248,0,0
pc7-v2,138,276,1.0018148820326678,0.3767363,5.738156e-05,0.173,0,0
pc7-v2,139,276,1.0090744101633393,0.3434628,5.685266e-05,0.151,0,0
pc7-v2,140,276,1.0163339382940109,0.3370827,5.632352e-05,0.206,0,0
pc7-v2,141,276,1.0235934664246824,0.4651452,5.579418e-05,1.117,0,0
pc7-v2,142,276,1.030852994555354,0.3090605,5.526474e-05,0.162,0,0
pc7-v2,143,276,1.0381125226860255,0.5216056,5.473526e-05,0.763,0,0
pc7-v2,144,276,1.0453720508166968,0.4653556,5.420582e-05,0.822,0,0
pc7-v2,145,276,1.0526315789473684,0.3753091,5.367649e-05,0.268,0,0
pc7-v2,146,276,1.05989110707804,0.3785701,5.314734e-05,0.175,0,0
