source_row,canonical_sha256,assistant_md5,tool_calls
3,c98b79cf27d4c5207e5d39d4fd024cd1073a27da1d675318b423fb4d39e101d3,4d31cc0fc34c233d7fbab6b97246f6d5,4
4,a293cc6e9daf8551a0b774ce75431059af4127b4e065e0265bee419fee527f76,7f73700ecf7c4ea2c729e04762e0f997,5
7,b1759e37333f34096907488aff0bebc3f7b4902ab030323e86c0104625da0eb0,83c6b5c25a4c93e0b5610998766dd4bc,6
74,be899501a058ac671276d29f974b4416a5df752bf906869f4a9aa24914a986ed,027d5283361fc1b0aa31fcd7ad967dec,12
78,4a6e34e86e548f3cb2e9bcb08577d6be919bd05d29752edcd4e1840cfe9822b0,948cd357bc58ecdf678004e1ccc51d92,8
85,29ea12c26f56f86865f66a6fd7fe7928987a1b8c5076267c333d2a332ba4befb,0cb8a04f39fae6f41cc4cac619cf1560,11
87,b02d173fa686074c193d662e33e01e95ecb197ef4723f8c7f7df073d3ec844f4,dd0f370392af393651e9bbc3ab37a88a,18
90,2da3fd5bc5009ea83bc607045b0f9a38540bcda8573379606031609d629f1097,a023934b6ff3f515e8d4dd9fa05d4d4a,3
98,8b678bd85cfd207854152558f782c7b0549d398f3f3271ec15e945842b22f575,81309a25fac138b9b18542d6405680a6,1
103,8c912388da888465cdbf1fcf0f804506ff7141eb57155517170a88a8b6d4bd84,8e078887aeca3e72573590993e133404,17
120,9cf79b4ad61361ea5b48aa4c634976fb27deb008f7893d3df0b4fa83897619e4,7c80075e7c381453f8ffc002e4858c64,13
123,8c31a2e617de9852fdf87ed4d00289d5407f3875699a82c2333b55b4badd512b,7571b6bc3600c402dfc90dddf1583b99,19
136,08e428e83c5b27591f07dde9cdd4449cf8df2a633bd80c5e8aaac79772aac2e9,f7ed366849762a8b229ca724402cb129,5
142,327e68df637a1bd78fe33bfde0e97e4c3995e9c1c2be26ecc190ce5e1ecb4b32,20b6cdea6bd6d89d9cb50a59a09424f0,13
157,e86f325b81b11d963dadf37a52f881b5906f36b2f2778e6220fd8e47d43095e4,48bb906dfc2fb8db35ddad10be396d84,6
166,ff00e6a5e66466cc91bbdb34f81d5666c3f0a2b4b6feaa0a8961f5ee85b2cc0a,caab9643c1f7534252a2dad9bc4a5139,10
170,2214473bd537115a90ef8078178c36aa2725cad976c44febf44ace5d2f3d24e5,c7d4d6197b993d05442631efc01e5241,23
176,7114fd5901908f3e29de2b8436282d60ec7326b77ac237dede4fba53704aa256,3211ae33793c64c11b23522284aab668,7
177,46b19ccdc0652898636afd09c03ab9a995d434febabc4b27e8c1f0701c3c3db1,159992c0a9bbb8b7599169d5c4c87b76,16
189,ba046065180a5762ac5bd8cbc52c3439968657dfaf97ad2475da71ee06090f63,e4a3850c7f05819344f1b2007c7ec8f4,7
199,043a3a217302c8605e93df71158efcd56f070839e8ccd113ac1e6cf711fcd048,b206c6c09c68c8713648f09e5d7f139f,19
215,8af69839e070c08cc8ecd4b179b8455a2a14392f27a824bb5b0cc629d1ec0f4d,ae71f20c00451e22c81c1e76b2120df5,10
238,af3dbebae430879efe08cfd9f14fe1b537a8de84b8650ffd1630c161b5772a7a,2def26aae1c874993cc04ff95b61ebbf,7
242,1d668456fe7de122c93e40a3fe812dcea1af24f64d24c6e44a2ed04f331912a5,87e550f7d06530423bcba86acea21b5d,11
243,26ca0b0fbc1cb7a4c767d6bfdf74f050c1c5ec9998cc359f9f8ab5634d71f6db,ba1067a69321fc2db937da3bdbe29969,2
277,44e0d99e5ebde58caeab54bceaa9998c2c49c93abe8125e1b33140a55d29d462,fd717181ad613416133c1f21890087cd,7
301,a38370591253a2feb08f0365d847ccf5ed0fd0011f626e6d90f901bccb5ba728,86bf8c0a46c2814c2242c32524c9cd1d,13
312,6e4d8696eb82634f9a2975acec0bb34dbad5c3faab2a430c61b59af537e1cb24,6f81cd9de5959c48e296a8256291e66b,12
324,9b8b150fdb7c0316b15b50763a3401ec09e61e518f8a0b30929d6bf19e210972,e08c54c1eb64b69df23b7012c801c0a8,15
332,206bd331b6adb558947896330bd44c058a538b695f82f38d41a267e731d5dbe7,d6727033dec4ab4ad192045264f46d0e,6
335,a67264bcdd0a6ae6b75c82dec7a4966bc8e06949eb815d123321e012c2746fa0,4de4b4b57440e14dcf12623b3e3665a5,10
341,b7017f57d97cb3202d56bb6cae5041ccc4ff7a0120931a4d6f7518c47a7ceb69,cc536407c8a078ca0c4f9dedb2760021,2
343,4f794aeebae4aeaef9c1e13b54fb10affe69236e7799631eb7660bab67f44fa5,277ef588a5b42afefaff5369bf8b362a,14
365,c4ede43719acb543b604b4222fbbdba782c41b9a3abe2531f873c0275a7f56ec,4562b3875e6f2edfac5e2db82d672750,4
390,bd283ae6ceb607b81a6a7ed86d5cd3aa552eee4f9aa8f24e852fddf99e7fa56d,e5f7ca39a403a6ec15d8d7269c548a2a,16
400,2de2f02ef4b4acf0e4e21c0fb421cba7d0b9efb66174de2e64d7611dd2b6a638,960e6cca7d988e16903996ff313ef0bb,19
417,3d57988156fcf55fc970f3d1bfd45d427dd1a442c60710dc3628508ad8f92e66,8caffda5b3b2a36e6dff3bea9492b9b0,10
419,55951c6ac114dcc2c2ec074c4d45355d90aa72b0f221d62ff46f8c3487190b8c,eefaeb3564771ad66d1b34242b9f6272,20
440,16cdc43be670d7f9eb3ca30d970e8800de68b78fed57b415ace084bd00a261bc,c79586a103f618d05bf4e52fe557bc4b,5
452,29dcde994ada36bc9be4b6bff567f6fc20718531e9c216a2b7b5abefa0bf4d52,d4fd6afdac8604ce90f384fce150f034,9
456,d5b9ce9bc4fa214e0e3bafe6d2599cf310cc1aad5d58b338a3e8e5d630912a7a,c1a78f4a613180dd07ae08d80ad09e90,5
