timestamp,step,total_steps,consumed_samples,elapsed_ms,learning_rate,global_batch_size,lm_loss,loss_scale,grad_norm,skipped_iterations,nan_iterations,step_time_s,tflops_per_gpu,step_time_source,progress,epoch,samples_per_sec,tokens_per_sec,tokens_per_sec_per_gpu,perplexity,is_checkpoint_step,status,lm_loss_rolling_mean,step_time_rolling_mean_s
2026-08-27 10:31:19,1,276,8,153041.3,1.111111e-05,8,0.4367845,1.0,0.337,0,0,153.04,73.1,Step Time,0.0036231884057971015,0.007259528130671506,0.05227391531625719,5138.734971249347,642.3418714061684,1.547722506915208,False,,0.4367845,153.04
2026-08-27 10:32:12,2,276,16,52487.2,2.222222e-05,8,0.3458927,1.0,0.15,0,0,52.49,213.3,Step Time,0.007246376811594203,0.014519056261343012,0.1524099828538769,14982.510954467518,1872.8138693084397,1.413250965853166,False,,0.3913386,102.765
2026-08-27 10:33:05,3,276,24,53060.2,3.333333e-05,8,0.5181887,1.0,0.181,0,0,53.06,211.0,Step Time,0.010869565217391304,0.021778584392014518,0.15077271013946475,14821.560497549943,1852.6950621937428,1.6789837505564489,False,,0.4336219666666667,86.19666666666666
2026-08-27 10:34:01,4,276,32,56393.1,4.444444e-05,8,0.478617,1.0,0.269,0,0,56.39,198.5,Step Time,0.014492753623188406,0.029038112522686024,0.14186912573151267,13946.302535910623,1743.287816988828,1.6138409161062865,False,,0.444870725,78.745
2026-08-27 10:34:55,5,276,40,53987.8,5.555556e-05,8,0.4046142,1.0,0.197,0,0,53.99,207.3,Step Time,0.018115942028985508,0.036297640653357534,0.14817558807186515,14566.253009816632,1820.781626227079,1.4987241807172187,False,,0.43681941999999996,73.79400000000001
2026-08-27 10:35:48,6,276,48,52674.1,6.666667e-05,8,0.5185295,1.0,0.163,0,0,52.67,212.5,Step Time,0.021739130434782608,0.043557168784029036,0.15188912094171256,14931.30814505411,1866.4135181317638,1.6795560457321974,False,,0.45043776666666663,70.27333333333333
2026-08-27 10:36:40,7,276,56,52226.6,7.777778e-05,8,0.3987474,1.0,0.275,0,0,52.23,214.3,Step Time,0.025362318840579712,0.050816696914700546,0.15316867700555237,15057.09362435382,1882.1367030442275,1.4899572078780188,False,,0.44305342857142854,67.69571428571429
2026-08-27 10:37:34,8,276,64,54018.5,8.888889e-05,8,0.4064706,1.0,0.227,0,0,54.02,207.2,Step Time,0.028985507246376812,0.05807622504537205,0.14809329877823027,14558.16364309515,1819.7704553868937,1.5015089963524173,False,,0.438480575,65.98625
2026-08-27 10:38:26,9,276,72,52324.9,0.0001,8,0.4818587,1.0,0.35,0,0,52.32,213.9,Step Time,0.03260869565217391,0.06533575317604355,0.1529051987767584,15031.192660550458,1878.8990825688072,1.6190809929938212,False,,0.44330036666666667,64.46777777777778
2026-08-27 10:39:19,10,276,80,52664.6,9.999688e-05,8,0.2853075,1.0,0.156,0,0,52.66,212.6,Step Time,0.036231884057971016,0.07259528130671507,0.1519179642992784,14934.143562476263,1866.767945309533,1.330170992820221,False,,0.42750108,63.287
2026-08-27 10:40:12,11,276,88,53181.6,9.998754e-05,8,0.3888972,1.0,0.126,0,0,53.18,210.5,Step Time,0.03985507246376811,0.07985480943738657,0.15043249341857842,14788.115833019932,1848.5144791274915,1.4753528772613587,False,,0.42271235,53.301
2026-08-27 10:41:06,12,276,96,53870.0,9.997197e-05,8,0.3422247,1.0,0.139,0,0,53.87,207.8,Step Time,0.043478260869565216,0.08711433756805807,0.1485056617783553,14598.70057545944,1824.83757193243,1.4080766567945882,False,,0.42234555,53.439
2026-08-27 10:42:01,13,276,104,54750.7,9.995017e-05,8,0.4533497,1.0,0.119,0,0,54.75,204.5,Step Time,0.04710144927536232,0.09437386569872959,0.1461187214611872,14364.054794520547,1795.5068493150684,1.5735743692660464,False,,0.41586164999999997,53.608000000000004
2026-08-27 10:42:46,14,276,112,45136.8,9.992214e-05,8,0.5005394,1.0,0.117,0,0,45.14,248.0,Step Time,0.050724637681159424,0.10163339382940109,0.17722640673460346,17422.064687638456,2177.758085954807,1.6496108308463469,False,,0.41805389000000004,52.483000000000004
2026-08-27 10:43:24,15,276,120,37998.6,9.98879e-05,8,0.4437236,1.0,0.119,0,0,38.0,294.6,Step Time,0.05434782608695652,0.1088929219600726,0.21052631578947367,20695.57894736842,2586.9473684210525,1.5584996567789784,False,,0.42196483,50.884
2026-08-27 10:44:16,16,276,128,51575.1,9.984745e-05,8,0.3245489,1.0,0.354,0,0,51.58,217.0,Step Time,0.057971014492753624,0.1161524500907441,0.15509887553315238,15246.839860411013,1905.8549825513767,1.3834064505542127,False,,0.40256676999999996,50.775
2026-08-27 10:45:01,17,276,136,45683.2,9.980079e-05,8,0.5215511,1.0,0.122,0,0,45.68,245.0,Step Time,0.06159420289855073,0.12341197822141561,0.17513134851138354,17216.112084063046,2152.014010507881,1.6846386672374967,False,,0.41484714,50.12
2026-08-27 10:45:53,18,276,144,51959.8,9.974792e-05,8,0.4110375,1.0,0.142,0,0,51.96,215.4,Step Time,0.06521739130434782,0.1306715063520871,0.15396458814472672,15135.334872979214,1891.9168591224018,1.5083819198194834,False,,0.41530383000000004,49.914
2026-08-27 10:46:45,19,276,152,51867.1,9.968886e-05,8,0.4797948,1.0,0.182,0,0,51.87,215.8,Step Time,0.06884057971014493,0.13793103448275862,0.1542317331791016,15161.596298438404,1895.1995373048005,1.615742817747291,False,,0.41509744,49.869
2026-08-27 10:47:38,20,276,160,52842.7,9.962361e-05,8,0.4400802,1.0,0.148,0,0,52.84,211.8,Step Time,0.07246376811594203,0.14519056261343014,0.15140045420136258,14883.270249810748,1860.4087812263435,1.5528317506239315,False,,0.43057470999999997,49.887
2026-08-27 10:48:30,21,276,168,52175.8,9.955218e-05,8,0.3830867,1.0,0.324,0,0,52.18,214.5,Step Time,0.07608695652173914,0.15245009074410162,0.15331544653123802,15071.521655806822,1883.9402069758528,1.4668051965661935,False,,0.42999365999999994,49.787
2026-08-27 10:49:24,22,276,176,54099.1,9.947459e-05,8,0.3396771,1.0,0.138,0,0,54.1,206.9,Step Time,0.07971014492753623,0.15970961887477314,0.14787430683918668,14536.635859519409,1817.079482439926,1.404494006221734,False,,0.4297389,49.81
2026-08-27 10:50:17,23,276,184,53127.4,9.939084e-05,8,0.4721732,1.0,0.174,0,0,53.13,210.7,Step Time,0.08333333333333333,0.16696914700544466,0.15057406361754186,14802.032749858836,1850.2540937323545,1.6034750815613739,False,,0.43162124999999996,49.648
2026-08-27 10:51:10,24,276,192,52525.0,9.930094e-05,8,0.3623749,1.0,0.1,0,0,52.52,213.1,Step Time,0.08695652173913043,0.17422867513611615,0.15232292460015232,14973.952779893372,1871.7440974866715,1.4367374738851946,False,,0.41780480000000003,50.386
2026-08-27 10:51:56,25,276,200,46407.8,9.920491e-05,8,0.544564,1.0,0.184,0,0,46.41,241.2,Step Time,0.09057971014492754,0.18148820326678766,0.17237664296487828,16945.313510019394,2118.1641887524243,1.7238566170184764,False,,0.42788884000000005,51.227
2026-08-27 10:52:48,26,276,208,51187.2,9.910276e-05,8,0.402765,1.0,0.125,0,0,51.19,218.7,Step Time,0.09420289855072464,0.18874773139745918,0.15628052353975386,15363.000586051963,1920.3750732564954,1.4959553008575794,False,,0.43571045,51.188
2026-08-27 10:53:41,27,276,216,53035.3,9.89945e-05,8,0.525117,1.0,0.147,0,0,53.04,211.1,Step Time,0.09782608695652174,0.19600725952813067,0.15082956259426847,14827.149321266968,1853.393665158371,1.6906566436351484,True,,0.43606704,51.924
2026-08-27 10:55:34,28,276,224,48359.5,9.888015e-05,8,0.4733694,1.0,0.147,0,0,48.36,231.5,Step Time,0.10144927536231885,0.20326678765880218,0.1654259718775848,16262.034739454095,2032.7543424317619,1.6053943061132914,False,,0.44230023,51.564
2026-08-27 10:56:18,29,276,232,44456.3,9.875974e-05,8,0.4937336,1.0,0.124,0,0,44.46,251.8,Step Time,0.10507246376811594,0.21052631578947367,0.1799370220422852,17688.529014844804,2211.0661268556005,1.638422027022043,False,,0.44369411000000003,50.823
2026-08-27 10:57:06,30,276,240,47188.7,9.863325e-05,8,0.4098592,1.0,0.494,0,0,47.19,237.2,Step Time,0.10869565217391304,0.2177858439201452,0.169527442254715,16665.2256834075,2083.1532104259377,1.5066056401040688,False,,0.44067201,50.257999999999996
2026-08-27 10:57:50,31,276,248,44861.6,9.850074e-05,8,0.4599169,1.0,0.109,0,0,44.86,249.5,Step Time,0.11231884057971014,0.2250453720508167,0.17833259028087384,17530.80695497102,2191.3508693713775,1.5839423539156758,False,,0.44835503,49.525999999999996
2026-08-27 10:58:37,32,276,256,46249.4,9.836219e-05,8,0.5217769,1.0,0.172,0,0,46.25,242.0,Step Time,0.11594202898550725,0.2323049001814882,0.17297297297297298,17003.935135135136,2125.491891891892,1.6850191015979818,False,,0.46656500999999995,48.741
2026-08-27 10:59:29,33,276,264,52220.7,9.821764e-05,8,0.4048566,1.0,0.127,0,0,52.22,214.4,Step Time,0.11956521739130435,0.2395644283121597,0.15319800842589046,15059.977020298737,1882.497127537342,1.4990875154930203,False,,0.45983335,48.65
2026-08-27 11:00:07,34,276,272,38636.0,9.806712e-05,8,0.4782081,1.0,0.157,0,0,38.64,289.7,Step Time,0.12318840579710146,0.24682395644283123,0.20703933747412007,20352.7950310559,2544.0993788819874,1.6131811514537666,False,,0.47141667,47.262
2026-08-27 11:00:53,35,276,280,45053.3,9.791063e-05,8,0.4644141,1.0,0.103,0,0,45.05,248.5,Step Time,0.12681159420289856,0.2540834845735027,0.17758046614872366,17456.87014428413,2182.1087680355163,1.591081700972842,False,,0.4634016799999999,47.126
2026-08-27 11:01:31,36,276,288,38896.9,9.774819e-05,8,0.4309652,1.0,0.1,0,0,38.9,287.8,Step Time,0.13043478260869565,0.2613430127041742,0.20565552699228792,20216.76092544987,2527.095115681234,1.5387420008034873,False,,0.4662217,45.897
2026-08-27 11:02:16,37,276,296,44530.4,9.757984e-05,8,0.4814465,1.0,0.131,0,0,44.53,251.4,Step Time,0.13405797101449277,0.26860254083484575,0.17965416573096787,17660.723108017068,2207.5903885021335,1.6184137453376988,False,,0.46185465,45.046
2026-08-27 11:03:08,38,276,304,51764.4,9.740559e-05,8,0.6146652,1.0,0.154,0,0,51.76,216.2,Step Time,0.13768115942028986,0.27586206896551724,0.1545595054095827,15193.817619783616,1899.227202472952,1.849037438182193,False,,0.47598423,45.386
2026-08-27 11:03:52,39,276,312,44744.5,9.722548e-05,8,0.4352076,1.0,0.222,0,0,44.74,250.2,Step Time,0.14130434782608695,0.2831215970961887,0.17881090746535538,17577.827447474294,2197.2284309342867,1.5452838265769042,False,,0.47013163,45.414
